postcode,lat,long
BT238SJ,54.588984,-5.660141
BT238SQ,54.580322,-5.674127
BT238ZS,54.588812,-5.676892
BT247AQ,54.45609,-5.84078
BT247AZ,54.461192,-5.832692
BT247BE,54.463743,-5.834639
BT247FH,54.462309,-5.83158
BT247FL,54.461544,-5.830204
BT247FN,54.460751,-5.838277
BT247FP,54.462472,-5.830861
BT247JF,54.451229,-5.822286
BT247LG,54.459769,-5.840525
BT247LU,54.449814,-5.896034
BT248DE,54.40946,-5.901675
BT248EA,54.405728,-5.89475
BT248FG,54.399541,-5.905402
BT248HF,54.401735,-5.895108
BT248JU,54.372194,-5.929524
BT248LA,54.367619,-5.942034
BT248SF,54.367577,-5.853016
BT248WL,54.402729,-5.883599
BT251AX,54.414767,-6.146289
BT251DR,54.404322,-6.132006
BT251EF,54.417125,-6.147708
BT251EJ,54.39479,-6.089603
BT251FJ,54.408968,-6.163078
BT251FT,54.412105,-6.145804
BT251GB,54.37942,-6.089274
BT251GX,54.408682,-6.153773
BT251GZ,54.417074,-6.220164
BT251RB,54.438224,-6.12866
BT251RW,54.446974,-6.173757
BT251TN,54.411248,-6.147898
BT251TQ,54.419838,-6.139515
BT252AJ,54.394314,-5.981394
BT252BW,54.383597,-6.017784
BT252DS,54.378521,-6.069133
BT252DZ,54.374061,-6.014985
BT252ET,54.348003,-6.079255
BT252HQ,54.321041,-6.06983
BT252JP,54.379754,-5.983341
BT252QF,54.377941,-6.094746
BT266AQ,54.459874,-6.084814
BT266AY,54.463167,-6.074958
BT266FW,54.462733,-6.070814
BT266FY,54.460557,-6.071671
BT266GJ,54.447458,-6.046491
BT266GW,54.447458,-6.046491
BT266JZ,54.466988,-6.084728
BT266NT,54.468996,-6.087226
BT266SQ,54.424609,-6.007195
BT266WZ,54.426305,-6.012475
BT274BB,54.516961,-6.035394
BT274DS,54.533174,-6.044503
BT274EQ,54.518521,-6.033512
BT274NN,54.527788,-6.032108
BT274QN,54.536335,-6.027232
BT274QY,54.535975,-6.027743
BT274SB,54.532739,-6.018321
BT274UQ,54.517936,-6.025725
BT274XB,54.511735,-6.042779
BT275AQ,54.508726,-6.033967
BT275EJ,54.509014,-6.038462
BT275ET,54.505443,-6.038726
BT275GA,54.51514,-5.953817
BT275GB,54.51514,-5.953817
BT275GW,54.478021,-6.009532
BT275JP,54.508546,-6.022411
BT275PY,54.497413,-6.028984
BT275RZ,54.480752,-6.119543
BT275SP,54.527769,-6.022671
BT275SU,54.507832,-6.032034
BT275TG,54.53493,-6.007862
BT275WG,54.493796,-5.998695
BT275XA,54.523931,-5.977489
BT276UF,54.474406,-5.893938
BT27FF,54.594323,-5.930954
BT281AQ,54.509098,-6.048078
BT281BL,54.511144,-6.042375
BT281BP,54.511489,-6.046991
BT281DQ,54.510283,-6.055232
BT281EN,54.508062,-6.063521
BT281HJ,54.50743,-6.056649
BT281LE,54.502575,-6.05194
BT281LT,54.503537,-6.052588
BT281LU,54.510308,-6.042337
BT281NH,54.501866,-6.058149
BT281NR,54.497727,-6.057368
BT281TE,54.509809,-6.065446
BT281UJ,54.511383,-6.064414
BT282EA,54.517922,-6.078391
BT282EL,54.509017,-6.083395
BT282EX,54.510795,-6.091881
BT282GN,54.513989,-6.072321
BT282GS,54.514669,-6.055302
BT282JF,54.525662,-6.22678
BT282PN,54.530035,-6.15252
BT282RR,54.497642,-6.137414
BT282RT,54.512243,-6.077221
BT282TT,54.499213,-6.140862
BT282US,54.4973,-6.115973
BT282WD,54.509707,-6.083472
BT282WN,54.509224,-6.191887
BT282YT,54.500226,-6.11746
BT282YY,54.506292,-6.089528
BT282ZF,54.530035,-6.15252
BT283AB,54.513823,-6.0502
BT283AD,54.518322,-6.051174
